ID,neuroticism_scores,extroversion_scores,openness_scores,agreeableness_scores,conscientiousness_scores,major,GPA
35,26.0,56.27,49.12,50.23,43.43,SWE,2.18
36,19.43,53.93,32.29,52.89,31.09,SWE,2.6
37,9.43,57.24,43.17,45.63,38.36,ISE,2.49
38,25.53,62.42,40.72,61.13,32.89,ICS,3.66
39,25.52,47.35,36.55,60.52,41.42,ISE,2.58
40,23.17,43.11,54.83,41.18,50.45,ISE,2.81
41,25.24,35.98,47.88,57.05,46.16,SWE,3.23
42,17.74,56.44,44.37,42.08,39.56,ISE,2.82
43,20.48,39.09,46.89,43.54,57.48,ISE,3.65
44,15.3,64.83,37.89,47.93,41.1,ISE,2.23
45,33.48,54.62,48.31,42.45,42.72,SWE,2.6
46,21.52,50.47,53.28,36.96,30.84,SWE,2.72
47,16.83,55.88,57.06,44.03,43.8,SWE,2.94
48,17.78,67.4,37.75,64.31,37.93,SWE,3.88
49,31.26,61.13,50.74,38.54,35.72,ISE,3.09
50,37.22,50.43,49.67,37.38,43.13,ISE,2.92
51,14.4,46.21,47.67,50.43,41.98,SWE,3.73
52,19.27,36.09,33.47,63.07,49.2,ICS,3.72
53,16.09,43.67,53.5,59.31,50.67,SWE,2.52
54,18.95,56.77,50.55,36.04,39.59,ISE,3.9
55,31.39,60.55,51.05,48.91,51.38,SWE,2.32
56,28.32,48.13,51.64,50.64,33.42,SWE,2.18
57,18.89,49.0,38.16,55.97,34.91,ICS,3.48
58,20.0,50.52,43.4,50.66,38.46,ICS,3.26
59,28.21,50.66,54.76,70.78,44.85,ISE,2.17
60,24.24,63.66,46.97,59.74,38.74,ISE,3.63
61,28.4,54.37,44.76,45.67,44.06,SWE,2.68
62,24.06,54.01,33.5,57.63,35.65,ICS,2.11
63,24.55,58.55,52.89,43.77,45.26,ISE,2.49
64,18.73,57.95,57.01,52.02,45.9,ICS,2.01
65,26.41,43.07,39.72,45.61,40.86,ICS,3.91
66,8.17,43.61,48.6,53.28,27.29,ICS,2.98
67,27.44,27.97,40.95,64.15,43.25,SWE,3.15
68,22.19,55.0,45.45,54.01,46.99,ISE,3.34
69,29.29,57.44,41.96,60.36,33.93,SWE,3.79
70,21.12,48.81,41.76,53.78,38.0,ICS,3.86
71,26.36,39.53,38.23,55.32,53.25,SWE,2.67
72,26.65,59.16,35.99,39.15,48.63,SWE,2.11
73,25.78,61.48,48.32,67.37,48.33,ICS,3.9
74,19.45,45.75,38.98,48.37,38.07,ISE,2.73
75,32.13,56.06,35.15,58.52,41.63,SWE,2.9
76,17.67,51.42,44.95,57.72,40.61,ICS,2.58
77,38.53,50.69,42.58,48.95,42.76,SWE,3.0
78,19.76,39.98,36.01,46.77,39.38,SWE,3.97
79,14.42,54.3,41.11,39.51,42.95,ICS,2.46
80,27.62,44.41,42.37,63.07,48.55,ISE,3.43
81,11.34,49.56,50.33,58.55,33.09,ISE,2.48
82,22.6,53.04,49.37,51.47,45.65,ISE,3.26
83,16.5,53.87,48.14,45.38,48.89,SWE,3.0
84,12.68,48.81,45.03,53.52,39.84,ISE,2.26
85,27.56,30.52,38.42,51.3,50.12,ISE,3.23
86,24.53,41.18,42.71,69.03,53.9,ICS,2.01
87,24.94,44.53,36.89,25.28,37.08,ICS,3.94
88,34.17,49.74,46.29,61.42,41.6,ICS,2.38
89,35.4,52.93,40.94,62.34,41.62,ISE,2.22
90,9.26,51.01,45.08,44.74,29.6,ICS,3.79
91,11.96,62.66,43.61,64.83,43.72,ICS,2.9
92,9.98,57.14,45.84,61.14,40.4,SWE,3.84
93,28.08,49.63,44.48,36.21,41.96,SWE,2.87
94,30.07,55.16,56.39,61.93,44.56,SWE,2.16
95,14.16,41.83,41.7,54.79,34.6,ISE,3.18
96,23.16,47.36,47.63,56.72,54.49,SWE,3.76
97,22.32,60.74,32.75,46.35,46.83,ISE,3.19
98,18.13,60.0,40.39,57.37,33.21,ISE,3.75
99,30.51,58.4,51.76,55.93,38.86,ISE,3.59
100,18.19,45.63,49.68,46.64,23.11,ICS,3.79
