ID,neuroticism_scores,extroversion_scores,openness_scores,agreeableness_scores,conscientiousness_scores,major,GPA,Team number,Team Score,cluster,role_in_project,Team_Number
50,16.52,68.41,38.9,67.11,44.6,SWE,2.8,19,55,2,Innovator,17
51,7.78,60.08,40.29,53.96,49.26,ISE,2.16,15,41,2,Innovator,10
52,27.94,57.94,54.1,44.14,46.24,ISE,2.59,17,62,0,Executor,6
53,29.67,65.24,47.34,43.71,38.27,ICS,3.83,19,55,0,Executor,13
54,16.82,51.95,43.86,57.57,39.01,ISE,2.39,18,23,2,Innovator,12
55,32.38,33.58,56.63,60.77,42.82,ICS,3.4,7,9,1,Collaborator,5
56,17.47,39.71,36.01,55.72,31.14,SWE,3.19,15,41,1,Collaborator,9
57,12.52,42.7,47.76,43.1,44.03,ICS,2.09,14,24,1,Collaborator,8
58,20.58,46.57,40.31,58.9,41.9,ICS,2.95,8,5,1,Collaborator,5
59,43.18,37.96,45.36,49.42,45.98,SWE,3.23,4,94,1,Collaborator,7
60,27.71,59.46,46.85,50.31,43.08,SWE,3.76,5,56,0,Executor,17
61,24.42,47.37,44.03,45.28,50.58,ICS,2.13,7,9,0,Executor,18
62,19.03,45.2,51.53,57.62,31.0,SWE,3.44,5,56,1,Collaborator,11
63,11.05,39.54,35.84,42.24,43.42,ISE,2.92,12,2,1,Collaborator,1
64,22.39,57.55,45.79,45.22,40.47,SWE,2.27,16,14,0,Executor,11
65,19.46,56.61,46.07,49.98,35.93,SWE,2.9,10,87,2,Innovator,1
66,24.28,71.47,33.8,50.24,39.96,ICS,3.6,14,24,2,Innovator,10
67,14.08,61.79,48.48,53.36,45.44,SWE,2.81,15,41,2,Innovator,12
68,11.56,59.56,36.6,55.98,45.41,SWE,2.85,17,62,2,Innovator,4
69,18.85,57.28,39.92,51.23,46.4,SWE,3.17,13,81,2,Innovator,17
70,15.92,38.61,41.88,53.9,45.09,ISE,2.69,19,55,1,Collaborator,15
71,19.05,43.93,41.1,46.67,41.99,SWE,3.56,5,56,1,Collaborator,6
72,29.56,40.65,43.73,42.18,36.99,ICS,3.59,10,87,1,Collaborator,5
73,18.57,36.75,42.5,45.89,43.37,SWE,3.53,13,81,1,Collaborator,2
74,7.28,49.58,31.63,36.22,44.21,ISE,3.26,17,62,0,Executor,17
75,19.28,46.1,41.76,50.6,38.6,SWE,3.89,19,55,1,Collaborator,16
76,18.22,42.85,40.42,59.75,29.93,ISE,2.33,17,62,1,Collaborator,7
77,27.74,53.79,53.73,33.75,40.81,ISE,2.14,12,2,0,Executor,6
78,29.9,45.28,48.04,47.94,43.4,SWE,3.23,5,56,1,Collaborator,1
79,11.62,40.2,48.15,45.97,41.41,SWE,2.99,10,87,1,Collaborator,12
80,20.94,48.43,42.62,62.38,42.69,SWE,3.6,7,9,1,Collaborator,6
81,25.24,46.61,35.73,51.4,47.5,ICS,3.39,17,62,1,Collaborator,7
82,18.6,58.23,42.96,54.7,46.84,SWE,2.19,15,41,2,Innovator,13
83,35.28,48.71,56.64,67.27,45.8,ICS,2.56,19,55,1,Collaborator,15
84,11.8,55.67,37.81,64.31,44.06,ISE,3.16,6,82,2,Innovator,12
85,28.12,52.74,46.18,47.83,27.11,ICS,2.52,19,55,0,Executor,18
86,12.6,60.81,45.04,58.49,52.84,ICS,2.94,14,24,2,Innovator,5
87,22.43,64.87,36.97,55.85,43.9,ICS,2.94,18,23,2,Innovator,10
88,13.83,37.7,42.7,55.56,39.82,SWE,3.26,9,72,1,Collaborator,4
89,15.13,65.59,52.47,38.44,31.08,ISE,2.58,14,24,0,Executor,11
90,21.65,52.94,46.45,51.29,34.5,SWE,3.47,3,46,1,Collaborator,12
91,20.21,59.75,33.49,54.29,38.79,ISE,3.18,9,72,2,Innovator,2
92,13.53,44.79,47.61,46.93,44.65,ISE,3.33,3,46,1,Collaborator,3
93,29.45,53.92,44.54,57.35,44.59,ICS,2.19,16,14,1,Collaborator,18
94,30.6,50.65,49.47,51.81,36.65,SWE,2.53,12,2,1,Collaborator,11
95,15.89,58.91,46.35,52.83,34.77,ISE,2.92,20,60,2,Innovator,9
96,35.09,49.61,31.36,56.24,34.52,SWE,2.23,17,62,1,Collaborator,15
97,26.59,47.59,45.11,42.7,40.88,SWE,3.6,12,2,0,Executor,10
98,24.81,50.61,44.73,42.17,43.55,SWE,2.34,6,82,0,Executor,2
99,29.19,41.93,34.44,55.73,43.51,SWE,2.09,10,87,1,Collaborator,4
100,33.05,44.24,45.18,56.23,32.8,SWE,2.42,13,81,1,Collaborator,14
