CustomerID,ContractType,MonthlyCharges,TotalCharges,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Churn
40,Two year,84.19312539531383,584.6620541742784,59,No,No,Fiber optic,No,No internet service,Yes,No,Yes,Credit card (automatic),No
41,Month-to-month,72.90343315806442,6268.016529940674,47,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,Credit card (automatic),No
42,Two year,67.46752318740144,3732.4233477776293,34,Yes,No,No,No,No,Yes,No internet service,No,Electronic check,No
43,Two year,61.737012255412566,559.4939844932587,37,No,Yes,Fiber optic,No,Yes,No,Yes,No,Mailed check,No
44,Month-to-month,114.57715212655215,7959.44390564116,6,No,No,No,No,No,Yes,No,No,Mailed check,No
45,Month-to-month,105.57636610868335,556.4664318712964,7,No,Yes,Fiber optic,No internet service,No,No internet service,No,No,Credit card (automatic),Yes
46,Two year,117.80744887065264,5590.77830798257,25,Yes,No,No,No,Yes,No,No internet service,Yes,Bank transfer (automatic),No
47,One year,41.30104733718457,7871.063509580968,33,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,Credit card (automatic),No
48,Month-to-month,96.49894024353162,1989.5228233058124,55,Yes,No,Fiber optic,No,No internet service,No,Yes,No,Bank transfer (automatic),No
49,One year,115.37898157071444,1223.7700126288498,58,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Credit card (automatic),No
50,One year,46.48220902107507,1058.9410214371883,7,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No,Mailed check,No
51,One year,36.04116033037675,2495.873665784005,57,No,No,No,No,Yes,No internet service,Yes,Yes,Credit card (automatic),No
52,Month-to-month,97.43197908539537,898.2619069841088,12,Yes,No phone service,No,Yes,No,Yes,No internet service,Yes,Credit card (automatic),No
53,One year,82.26705329937198,5568.074599383642,16,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes
54,Month-to-month,106.59641868500275,592.1052052274953,43,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Mailed check,No
55,One year,42.709286272992344,4124.434812383339,7,No,Yes,No,Yes,No internet service,No,No internet service,Yes,Bank transfer (automatic),No
56,Two year,102.35932537925001,7973.905145438516,51,No,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,Credit card (automatic),No
57,Two year,48.338086124344755,6530.365129097549,32,No,No,Fiber optic,No internet service,No,No,Yes,No,Electronic check,Yes
58,Month-to-month,44.88269080077911,4960.233562024986,8,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Credit card (automatic),Yes
59,Two year,44.93818761172035,2519.403604214232,45,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,Credit card (automatic),No
60,Two year,104.11629954105577,5028.777106703944,59,No,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Bank transfer (automatic),No
61,One year,90.52294708335421,4263.627564902048,4,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,Electronic check,No
62,Month-to-month,77.58895365398986,3466.058732733935,67,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,Electronic check,No
63,One year,62.64357405523873,1132.6119762475757,29,No,Yes,No,No,No internet service,Yes,No,Yes,Bank transfer (automatic),No
64,One year,109.81524921399284,7104.173300399687,29,Yes,No,DSL,No,Yes,Yes,No,No,Mailed check,No
65,One year,65.70250477545981,3653.298725688448,28,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Electronic check,No
66,One year,104.30054899191352,1637.517843384044,44,No,No,Fiber optic,Yes,No,No,No internet service,No,Electronic check,No
67,One year,69.95127667988987,3005.298871930588,4,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Bank transfer (automatic),No
68,One year,64.29194307766659,3371.6250449785234,9,No,No,DSL,No internet service,Yes,Yes,No internet service,Yes,Mailed check,No
69,One year,72.09386049593418,6637.549374978307,5,Yes,No,No,No,No,No internet service,No,No,Mailed check,Yes
70,Month-to-month,57.41538654893692,5895.553606435076,56,No,No,No,No,Yes,No internet service,No internet service,Yes,Credit card (automatic),No
71,Two year,98.02245359603884,6177.508659766584,50,No,No,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,Credit card (automatic),No
72,One year,75.7375554984156,187.14698898631298,15,No,No,No,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes
73,One year,51.121355258360374,3387.616585620116,32,Yes,No,No,No,No,No internet service,No internet service,No,Mailed check,No
74,One year,111.85128616798572,3902.6187979190568,28,No,Yes,Fiber optic,No,No internet service,Yes,No,No,Bank transfer (automatic),No
75,One year,64.92410114496224,251.6189869021478,22,Yes,No,No,Yes,No,No,No internet service,Yes,Credit card (automatic),Yes
76,One year,79.45331036137296,2152.52434908577,17,No,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),No
77,One year,112.47896209777376,6106.289602664867,59,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,Bank transfer (automatic),No
78,Two year,86.79565762817327,1183.1666752590925,71,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Electronic check,No
79,Two year,40.62772170446113,4328.950038475474,57,No,Yes,DSL,No,Yes,Yes,No internet service,Yes,Electronic check,No
80,One year,115.51472324882623,1800.0947889361762,26,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Electronic check,No
81,Two year,87.11143282949902,195.75411968675684,25,No,Yes,No,No,No,Yes,No,No,Credit card (automatic),Yes
82,Month-to-month,60.46641093379483,2005.4915150363777,10,No,No,No,No internet service,Yes,Yes,No internet service,No,Bank transfer (automatic),Yes
83,One year,42.66375861236824,7809.402663789425,45,No,No,No,No internet service,No,No internet service,No internet service,No,Electronic check,Yes
84,Month-to-month,102.24629222359692,6432.143183875618,11,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,Electronic check,Yes
85,Month-to-month,86.41662078949473,7680.655490136164,53,No,No phone service,No,Yes,No internet service,Yes,Yes,Yes,Electronic check,No
86,One year,78.53495936984525,3954.0469470182634,68,No,Yes,DSL,Yes,Yes,No internet service,No,Yes,Credit card (automatic),No
87,Two year,111.33422505763714,966.9159695522777,28,Yes,No phone service,No,No internet service,No,No,No internet service,Yes,Credit card (automatic),No
88,Month-to-month,101.75234622143229,4428.879962892174,65,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),No
89,One year,43.792414055680354,3689.580943023691,49,No,Yes,Fiber optic,No,No,No,No,No,Bank transfer (automatic),No
90,Month-to-month,58.35670816939489,6770.420953642966,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Bank transfer (automatic),No
91,Month-to-month,52.60251172311638,874.8523881955323,52,No,No phone service,DSL,No internet service,No,No,No internet service,No,Electronic check,No
92,Month-to-month,97.6891126241136,3957.1049824720476,54,No,No,Fiber optic,Yes,No internet service,No,Yes,Yes,Mailed check,No
93,Month-to-month,33.04145156095592,1285.3844510824756,60,No,No phone service,No,No,No,Yes,No internet service,Yes,Credit card (automatic),No
94,Two year,81.8499613232898,2664.9398224314737,57,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Electronic check,No
95,Month-to-month,99.37374040240283,5925.120911363617,47,No,No,DSL,Yes,No,No,No internet service,No,Electronic check,No
96,Month-to-month,109.7756729453192,3860.5432220132557,31,Yes,No,No,No,No internet service,Yes,No,Yes,Bank transfer (automatic),No
97,Month-to-month,61.11943913314758,3069.5174526515775,46,No,Yes,DSL,Yes,No internet service,No,No internet service,No,Bank transfer (automatic),No
98,Two year,104.72441472515317,3216.362600703279,26,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Electronic check,No
99,Month-to-month,40.05748806292385,3729.6294704072943,5,No,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Credit card (automatic),No
100,Month-to-month,107.01715854784115,6301.630696312749,52,Yes,No,DSL,No internet service,No,No,No,No,Credit card (automatic),No
101,Two year,41.5914682722104,7147.469042627852,54,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Electronic check,No
102,Two year,66.14314344099341,7647.144023381034,33,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No,Mailed check,No
103,Two year,102.54387828593937,6316.536751416831,50,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Mailed check,No
104,Month-to-month,43.632485888738415,2591.7144764093005,38,Yes,No phone service,No,No internet service,Yes,No internet service,No,No,Credit card (automatic),No
105,Two year,50.85187696617037,5536.264178083683,27,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,Bank transfer (automatic),No
106,Two year,95.71498372376902,3557.064680037596,15,No,Yes,DSL,Yes,No,No,No internet service,Yes,Mailed check,No
107,Month-to-month,95.51332482569276,2111.897914163804,61,No,No,Fiber optic,Yes,No internet service,No,Yes,Yes,Mailed check,No
108,Two year,88.33443459256205,6742.885477464789,21,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,Bank transfer (automatic),No
109,Month-to-month,93.1393084465061,403.56815680236747,46,Yes,No,No,No internet service,No internet service,No,No internet service,Yes,Mailed check,No
110,One year,79.37792434463125,7223.919737869845,69,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,Electronic check,No
111,Two year,52.9037143605327,3745.6719705354,6,Yes,Yes,No,Yes,No,No internet service,No internet service,No,Mailed check,No
112,One year,61.448335408856664,5133.8916667854155,38,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Bank transfer (automatic),No
113,Month-to-month,46.515392228929734,5308.895985425684,62,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Electronic check,No
114,Two year,112.65900108136017,7171.430151581638,62,No,No phone service,No,No,No,No internet service,Yes,Yes,Mailed check,No
115,Month-to-month,83.07865332371696,5129.690489120938,46,No,No,No,Yes,Yes,Yes,Yes,No,Credit card (automatic),No
116,One year,66.46747892549122,4950.075319604488,13,Yes,No phone service,No,No internet service,No internet service,No,Yes,Yes,Electronic check,No
117,Month-to-month,72.03252813161608,626.5511204294507,3,Yes,No phone service,DSL,No,No,No internet service,No,No,Electronic check,No
118,Two year,116.1927839046752,4195.423373367112,6,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Credit card (automatic),No
119,Two year,43.944977683563295,1286.335106454629,8,No,Yes,No,Yes,No,No,Yes,Yes,Credit card (automatic),No
120,One year,83.33691471352854,5925.726772899736,44,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,Mailed check,No
121,Month-to-month,76.02586977848641,4146.553174420129,33,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,Mailed check,No
122,Two year,85.63233542455295,5473.7994557459915,50,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,Bank transfer (automatic),No
123,One year,31.638026727696484,429.2159147588357,11,No,No phone service,DSL,No,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes
124,Two year,109.35327571391778,769.8569267618454,28,No,No,DSL,Yes,No internet service,Yes,No,Yes,Electronic check,No
125,Two year,114.81276370600872,5758.95476569519,70,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,Credit card (automatic),No
126,Month-to-month,81.41711970661801,669.4662543895196,41,No,No,DSL,No,No internet service,No,No internet service,No,Credit card (automatic),No
127,Two year,93.38522497279719,662.9281493455429,16,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,Yes,Bank transfer (automatic),No
128,Month-to-month,113.93744368713391,195.65695435561085,68,Yes,Yes,No,No internet service,Yes,Yes,Yes,No,Electronic check,Yes
129,Two year,94.34871572251927,7656.361046565893,48,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No,Electronic check,No
130,One year,43.87105290519778,5926.3160397261545,56,No,No phone service,No,No,No,Yes,Yes,No,Bank transfer (automatic),No
131,Two year,82.43224077517999,2890.686127166307,64,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),No
132,Month-to-month,85.20106922083988,2442.631092172476,59,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,Bank transfer (automatic),No
133,Month-to-month,68.58589108851713,2862.6555149922115,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,No
134,One year,97.00642544184977,6219.762896331336,11,Yes,No,DSL,No internet service,No internet service,No internet service,Yes,Yes,Electronic check,No
135,Two year,115.01739834398035,5324.827827456274,18,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,Electronic check,No
136,Two year,114.21673467451664,1563.0449861529967,19,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,Electronic check,No
137,One year,71.01638279777602,1475.4637491392664,55,No,No phone service,DSL,Yes,Yes,Yes,No,No,Bank transfer (automatic),No
138,Two year,40.294662171508726,877.3256327358388,26,No,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No,Bank transfer (automatic),No
139,Two year,119.61054910557245,5316.391485640571,6,No,No,No,No internet service,Yes,No,No,No,Bank transfer (automatic),No
140,Month-to-month,106.32972586658,6138.544031551714,4,No,Yes,DSL,Yes,No,Yes,No internet service,No,Bank transfer (automatic),No
141,Two year,41.33430398949728,2193.8667837675316,29,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,Credit card (automatic),No
142,Two year,113.78661131818087,265.4651921442112,59,Yes,No phone service,No,Yes,No,No internet service,Yes,No,Bank transfer (automatic),No
143,One year,109.15056894765367,749.156173063776,17,Yes,Yes,No,Yes,No,No,No internet service,No,Mailed check,No
144,One year,77.20426319847256,7746.094275275741,43,No,No phone service,No,Yes,No internet service,No internet service,No internet service,No,Credit card (automatic),No
145,Month-to-month,83.79606465278856,2434.01374207162,66,No,Yes,DSL,Yes,No,Yes,No internet service,Yes,Credit card (automatic),No
146,Two year,66.29924605218186,6176.862867921255,34,No,No phone service,No,No,No,No internet service,Yes,No,Bank transfer (automatic),No
147,Two year,34.97330913280485,5034.842193948683,8,Yes,No phone service,No,Yes,No,No internet service,Yes,No,Electronic check,No
148,Two year,60.492948989776984,3117.3231532578775,13,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,Yes,Bank transfer (automatic),No
149,Month-to-month,103.04966382241903,1724.9293713448853,8,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No,Electronic check,Yes
150,Month-to-month,30.41151409341886,1058.9527034593107,65,Yes,No,DSL,Yes,No,Yes,No,Yes,Bank transfer (automatic),No
151,One year,60.33842462389412,4958.602447507046,43,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,Bank transfer (automatic),No
152,Month-to-month,66.22335111677585,6219.606867038525,39,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Electronic check,Yes
153,Two year,78.89299986735098,5186.843602974933,59,Yes,No,No,Yes,No,Yes,No,No,Electronic check,No
154,Two year,113.6968610935612,4289.386852668351,44,Yes,No,No,No,No internet service,No internet service,Yes,Yes,Electronic check,No
155,Month-to-month,61.507485487302475,431.4146651099265,9,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,Electronic check,No
156,Two year,61.562741372556715,7751.061342995632,37,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,Mailed check,No
157,Two year,97.1026135779871,6409.842114071139,36,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,Yes,Electronic check,No
158,Month-to-month,71.14183262097245,2413.2940899376213,28,No,Yes,DSL,Yes,No,No,Yes,Yes,Bank transfer (automatic),No
159,Month-to-month,50.429038887538354,7841.76560193492,42,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes
160,Two year,71.1619959680751,4854.864558126945,43,No,No,DSL,No,No,Yes,No,Yes,Mailed check,Yes
161,Two year,42.807988854561785,4701.138999837247,42,No,Yes,Fiber optic,No,No,No internet service,Yes,No,Electronic check,No
162,Two year,46.04121577206632,6009.778117493303,66,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,Bank transfer (automatic),No
163,One year,75.34146731929266,6512.9813259120865,55,Yes,Yes,DSL,No internet service,No,No,No internet service,No,Mailed check,Yes
164,One year,68.11221590491385,5286.180997918871,48,Yes,Yes,DSL,No internet service,No,Yes,No,No,Bank transfer (automatic),No
165,One year,113.2409769971971,1111.9563962929801,22,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Mailed check,No
166,Month-to-month,62.96784481961362,2772.3132973565375,27,Yes,Yes,No,No internet service,Yes,No,Yes,No,Mailed check,No
167,One year,82.82353987530195,7431.860758575793,67,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,Credit card (automatic),No
168,Month-to-month,87.52605020067726,1874.4633335664303,13,No,Yes,Fiber optic,No,No internet service,Yes,Yes,No,Credit card (automatic),No
169,Month-to-month,31.181595549538358,3040.1194883163553,45,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,Electronic check,No
170,One year,90.37190085352066,3513.4073752591485,10,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,Credit card (automatic),No
171,One year,46.19127298514738,3571.299418586172,9,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,Mailed check,No
172,One year,117.44739888972042,4942.222701706752,54,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),No
173,Two year,43.518308225533275,7550.29911818319,27,No,Yes,DSL,No,No,No,Yes,Yes,Bank transfer (automatic),No
174,One year,67.72079525915916,2001.4724234767891,34,Yes,No phone service,DSL,No,No internet service,No,No,No,Electronic check,No
175,Two year,37.75681979515659,1059.8608727772526,1,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No,Credit card (automatic),No
176,Month-to-month,120.7055569179812,1660.0168698935047,32,Yes,Yes,No,No internet service,Yes,No,Yes,No,Electronic check,No
177,Two year,75.68974594014307,7106.706711653229,71,No,No phone service,Fiber optic,No internet service,Yes,No,No,No,Mailed check,Yes
178,One year,84.17003657612398,5201.905419976128,67,Yes,No phone service,DSL,Yes,No,No,No,Yes,Credit card (automatic),Yes
179,Month-to-month,36.0939594423469,2358.663634989365,20,No,No,No,Yes,No internet service,No,Yes,No,Electronic check,No
180,Month-to-month,98.23640280632517,6545.980817852076,35,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,Bank transfer (automatic),No
181,Month-to-month,49.0914089716983,6904.8229712711445,17,Yes,No,No,No,No internet service,No,Yes,No,Bank transfer (automatic),No
182,Two year,111.71294033910495,6787.463275653196,18,No,No phone service,Fiber optic,Yes,No,No,No internet service,No,Electronic check,No
183,One year,48.65770728386265,7359.519615752481,45,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,Electronic check,No
184,Month-to-month,47.34258258039365,2092.7040593695565,53,No,No phone service,No,No internet service,No,No,No,Yes,Electronic check,No
185,Month-to-month,33.31601977417663,6064.831237095598,68,Yes,Yes,DSL,No,No internet service,Yes,No,No,Mailed check,No
186,Month-to-month,72.94809200500993,3738.262028465706,65,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Mailed check,Yes
187,Two year,81.3905431268981,6751.788567831486,1,No,Yes,No,No,Yes,No,No internet service,No,Bank transfer (automatic),No
188,Two year,35.96948618798007,5855.076349576744,58,No,No,DSL,No,No,Yes,No internet service,No,Mailed check,No
189,One year,100.56301311924595,6233.9348273478245,26,No,No phone service,DSL,No,Yes,No internet service,Yes,No,Mailed check,No
190,Two year,71.23928396207052,5283.678517680465,20,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),No
191,Month-to-month,77.70951450880978,1501.6872788106843,10,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Mailed check,No
192,One year,70.09940997137876,4405.712659285813,59,Yes,No,No,Yes,No internet service,No,No,Yes,Credit card (automatic),No
193,Month-to-month,66.45943853965467,7878.8909422436145,41,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes
194,Month-to-month,80.91727014904782,7505.3657253272395,5,No,No phone service,DSL,Yes,Yes,No,Yes,No,Bank transfer (automatic),No
195,Two year,44.11686237969484,441.0725127963922,65,No,No,No,Yes,No,No internet service,No internet service,Yes,Electronic check,No
196,One year,46.54545987506967,1402.0370442625533,17,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,Bank transfer (automatic),No
197,Two year,108.41249151223006,1140.657310291039,22,Yes,No phone service,No,No,Yes,No,No internet service,No,Mailed check,No
198,Two year,116.08650705416058,5835.241288883834,41,No,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Electronic check,No
199,One year,63.96114778145751,6560.504105869866,68,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No,Electronic check,No
200,Month-to-month,54.62776525606339,1786.7397938543081,69,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Electronic check,No
201,Month-to-month,88.59395843475043,4096.236274319449,11,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,Yes,Credit card (automatic),No
202,One year,67.18480956992677,6741.55392128848,56,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,Bank transfer (automatic),No
203,Month-to-month,32.30015836509138,5889.132203653379,51,No,No phone service,No,No,No,No,No,Yes,Credit card (automatic),No
204,One year,44.19988636032332,4383.6739233856015,21,Yes,No phone service,No,No,No,Yes,No,Yes,Electronic check,No
205,One year,95.14347282511316,4763.746754624306,26,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,Bank transfer (automatic),No
206,Two year,89.95207871382377,4116.048320638612,19,No,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,Bank transfer (automatic),No
207,One year,32.455735317816995,2450.6327654186825,60,No,No phone service,DSL,No,No internet service,No,Yes,No,Mailed check,No
208,Two year,50.18946673589839,4563.673743586227,71,Yes,No phone service,DSL,No internet service,Yes,No,Yes,Yes,Credit card (automatic),No
209,Month-to-month,51.0178064895145,5542.193886195716,47,No,No,DSL,No internet service,No,No,Yes,Yes,Credit card (automatic),No
210,Month-to-month,91.13223966748428,6999.251035300381,71,Yes,No phone service,No,No,No,Yes,Yes,No,Mailed check,Yes
211,Month-to-month,31.783658935647136,5126.70169643606,26,No,No,No,No internet service,No internet service,No,No internet service,No,Credit card (automatic),Yes
212,Month-to-month,39.46388096059622,6112.860142640948,40,Yes,No,No,No,No internet service,No internet service,No,Yes,Electronic check,No
213,Two year,102.78236376896022,1364.5659161411268,5,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,Electronic check,No
214,Month-to-month,46.23756424694436,3746.30404791634,21,No,No phone service,No,No,Yes,No,Yes,No,Credit card (automatic),Yes
215,One year,89.3898958145206,173.71979663403704,4,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Mailed check,No
